file,energy_chgnet,energy_mace,delta_E,force_mae,force_rmse,force_max_abs
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain+0.015_perturbed.cif,-2768.1774101257324,-2763.158017932117,5.019392193615204,0.011827123654057577,0.018756066990351542,0.13488188875277096
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain-0.010_perturbed.cif,-2770.6014404296875,-2765.3415438007505,5.2598966289369855,0.012539678947519558,0.01985210691738413,0.18452992539970015
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0094_strain-0.015_perturbed.cif,-2768.9937629699707,-2763.6938159522833,5.299947017687373,0.012904178943320806,0.020588881750783466,0.15347097418777067
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain+0.010_perturbed.cif,-2770.165454864502,-2765.1190724420594,5.046382422442548,0.011472106027573226,0.01786310365651101,0.13007780233914723
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain+0.015_perturbed.cif,-2768.1959495544434,-2763.2102698694216,4.985679685021751,0.011816175516131285,0.01858315210018035,0.12063766328388958
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain-0.010_perturbed.cif,-2771.2163314819336,-2766.026527736598,5.1898037453356665,0.01205222360087981,0.018493837868637297,0.10562506265042637
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0104_strain-0.015_perturbed.cif,-2769.61421585083,-2764.38213420636,5.232081644469872,0.012367198954403063,0.019339573122333864,0.1329560212968416
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain+0.010_perturbed.cif,-2769.064521789551,-2764.0459735283803,5.018548261170508,0.011832727919938576,0.019336771422026423,0.24564291673192806
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain+0.015_perturbed.cif,-2767.0730781555176,-2762.1257723456074,4.947305809910176,0.011777888836994653,0.019634510100380656,0.28671251177617574
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain-0.010_perturbed.cif,-2770.187702178955,-2765.0609452875797,5.126756891375408,0.012784212110941318,0.020044152756599907,0.15937738214173108
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0114_strain-0.015_perturbed.cif,-2768.68168258667,-2763.520176287304,5.16150629936601,0.013295589395884272,0.020960842346687256,0.14882860278992083
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain+0.010_perturbed.cif,-2769.047218322754,-2764.0476222801663,4.999596042587655,0.011651915635669557,0.018178289738823444,0.12366721022626592
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain+0.015_perturbed.cif,-2766.994285583496,-2762.057518784364,4.936766799131874,0.011702512475103385,0.018377723747643536,0.1433290227832903
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain-0.010_perturbed.cif,-2770.376495361328,-2765.2615183460293,5.114977015298791,0.012096171262390506,0.018605397867286922,0.10117703708266834
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0133_strain-0.015_perturbed.cif,-2768.9205322265625,-2763.7701328289113,5.150399397651199,0.012505049531794779,0.01889580831245367,0.10668938104265166
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain+0.010_perturbed.cif,-2767.0381622314453,-2762.0577634763904,4.980398755054921,0.012684643546492798,0.021223744139531715,0.18876349724956543
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain+0.015_perturbed.cif,-2764.7120819091797,-2759.827396934299,4.884684974880656,0.013273273711080339,0.022780555482068966,0.2097187161406322
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain-0.010_perturbed.cif,-2769.242500305176,-2764.042533813801,5.199966491374653,0.01332385889994073,0.020579216805356723,0.1347904254450234
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0162_strain-0.015_perturbed.cif,-2767.941650390625,-2762.6969514343364,5.24469895628863,0.01360920855792682,0.02131177455033165,0.13556095259273304
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain+0.010_perturbed.cif,-2767.0851287841797,-2762.0927692233527,4.992359560827026,0.01254455605930278,0.019962355942887065,0.11648664736932851
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain+0.015_perturbed.cif,-2764.88480758667,-2759.9696278738847,4.915179712785175,0.012658184039082488,0.02038225612609554,0.14795099855514016
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain-0.010_perturbed.cif,-2768.9554481506348,-2763.805519342801,5.1499288078339305,0.012524502497890567,0.019367638256573207,0.13506539418437435
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain-0.015_perturbed.cif,-2767.6817893981934,-2762.488716490363,5.193072907830356,0.013165466413908823,0.02047302445433902,0.15037004634929674
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain+0.010_perturbed.cif,-2767.0393981933594,-2762.013671040797,5.025727152562467,0.01174058737846517,0.018727655956023548,0.1355516899520851
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain+0.015_perturbed.cif,-2764.6814918518066,-2759.726719575614,4.954772276192671,0.011739224473122018,0.01885929108692839,0.15046647585333797
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain-0.010_perturbed.cif,-2769.567558288574,-2764.3917178959528,5.175840392621467,0.01209771672937205,0.01865345478173848,0.14826161617881461
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain-0.015_perturbed.cif,-2768.4190406799316,-2763.222999305668,5.1960413742635865,0.012423523075989307,0.019406551742365573,0.1500008921563476
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain+0.010_perturbed.cif,-2766.4995918273926,-2761.560070447944,4.939521379448706,0.011955519534276777,0.019539449644836573,0.1643894646809766
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain+0.015_perturbed.cif,-2764.2581748962402,-2759.389958356507,4.868216539733112,0.01218359126935177,0.019962011535768844,0.17028662091720104
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain-0.010_perturbed.cif,-2768.8568801879883,-2763.745715607103,5.111164580885088,0.012336187116268731,0.01964038238373447,0.13913713845163378
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain-0.015_perturbed.cif,-2767.6332778930664,-2762.4750165307196,5.1582613623468205,0.012414931639647662,0.0193947318912512,0.15631756983642853
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain+0.010_perturbed.cif,-2766.279899597168,-2761.390274493315,4.889625103853177,0.012242732791085856,0.020009219764275558,0.20583652480544612
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain+0.015_perturbed.cif,-2764.0839042663574,-2759.2823556151125,4.801548651244957,0.012324186249807238,0.020270902146928817,0.18808238483624207
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain-0.010_perturbed.cif,-2768.3739280700684,-2763.275034414284,5.098893655784195,0.012467076359891914,0.019610012728674905,0.13713424440332855
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain-0.015_perturbed.cif,-2767.059482574463,-2761.920741487207,5.138741087255767,0.013178461459052368,0.02053936232404926,0.14461007250741875
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain+0.010_perturbed.cif,-2766.1297302246094,-2761.255261989194,4.8744682354154065,0.011956566427564177,0.018984680301467573,0.16253639106508033
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain+0.015_perturbed.cif,-2763.7554473876953,-2758.965539957164,4.789907430531457,0.012392969959119484,0.0197537698509715,0.15551861257452404
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain-0.010_perturbed.cif,-2768.80867767334,-2763.734139141714,5.074538531625876,0.01251078873447026,0.019456220464527135,0.1306593547299688
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain-0.015_perturbed.cif,-2767.6567611694336,-2762.531792089576,5.124969079857692,0.012901454521119488,0.0204159618484258,0.1582915131719942
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain+0.010_perturbed.cif,-2765.828155517578,-2760.9732574564696,4.854898061108543,0.012015155268998498,0.019355567046891762,0.1572722159627269
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain+0.015_perturbed.cif,-2763.450782775879,-2758.67896978886,4.771812987019075,0.012458758127255895,0.02018533033158475,0.17173459741102737
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain-0.010_perturbed.cif,-2768.479293823242,-2763.4148495965346,5.064444226707565,0.012865958000014725,0.02052641499246104,0.18571475978026342
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain-0.015_perturbed.cif,-2767.434597015381,-2762.31571194806,5.118885067320662,0.013147984864941115,0.021204913838874427,0.21023409283168193
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain+0.010_perturbed.cif,-2766.027763366699,-2761.1580481106357,4.8697152560635,0.011914946278537907,0.018984914644662496,0.14364458035939753
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain+0.015_perturbed.cif,-2763.6386489868164,-2758.8431955767737,4.795453410042683,0.01202152563034779,0.01925390360070282,0.1430514683718298
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain-0.010_perturbed.cif,-2768.824436187744,-2763.781948698219,5.042487489525229,0.012370385918033844,0.01910955049941947,0.1297848508701307
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain-0.015_perturbed.cif,-2767.799514770508,-2762.7143480574014,5.085166713106446,0.012903400033189207,0.01991458122531617,0.14772871768646645
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain+0.010_perturbed.cif,-2764.6221656799316,-2759.505612962821,5.116552717110608,0.012418842431479164,0.018919333434129673,0.1212316192522992
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain+0.015_perturbed.cif,-2763.2221298217773,-2758.1496498393535,5.072479982423829,0.01250110472848989,0.019311317872601267,0.1449778000951778
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain-0.010_perturbed.cif,-2763.555221557617,-2758.332853262109,5.222368295508204,0.01264760011451864,0.018878950294279596,0.13240780626857654
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0005_strain-0.015_perturbed.cif,-2761.4825134277344,-2756.226101835753,5.256411591981305,0.013410685315387067,0.020425781351007047,0.1353846723687092
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain+0.010_perturbed.cif,-2765.170623779297,-2759.995742690662,5.17488108863472,0.012918688009457753,0.019652816981839613,0.10443835762455345
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain+0.015_perturbed.cif,-2763.62752532959,-2758.500523999275,5.12700133031467,0.012761584241106452,0.019672322935267154,0.09163015758346499
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain-0.010_perturbed.cif,-2764.428119659424,-2759.155505831819,5.2726138276048005,0.013380755677366359,0.020364213086971374,0.12028038600078617
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0019_strain-0.015_perturbed.cif,-2762.408866882324,-2757.106727729435,5.30213915288914,0.01373467278886108,0.02093608353480552,0.14710804951490086
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain+0.010_perturbed.cif,-2765.098320007324,-2759.957629341545,5.1406906657794025,0.012476331750847567,0.019535766242548193,0.12973255968235592
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain+0.015_perturbed.cif,-2763.432861328125,-2758.3463371929247,5.086524135200307,0.01277363672444208,0.020262015886791156,0.1360960438632316
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain-0.010_perturbed.cif,-2764.77449798584,-2759.519423162099,5.25507482374087,0.013230358254296892,0.01966019106767078,0.10898847215573634
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0034_strain-0.015_perturbed.cif,-2762.8878021240234,-2757.598956293863,5.288845830160426,0.013608430867935383,0.020346803096587235,0.10907426488873584
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain+0.010_perturbed.cif,-2764.8619422912598,-2759.72927007408,5.132672217179788,0.01257686072148392,0.01968367045846058,0.12187684760878523
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain+0.015_perturbed.cif,-2763.1621856689453,-2758.080454707844,5.08173096110113,0.012697399769267446,0.01979154700877343,0.13158733279111143
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain-0.010_perturbed.cif,-2764.799217224121,-2759.5584437574726,5.240773466648534,0.013740808151732543,0.02069442243383666,0.13630095798635122
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0042_strain-0.015_perturbed.cif,-2762.970302581787,-2757.6999768670066,5.270325714780483,0.014086392352456203,0.02165066192462584,0.15628581092385563
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain+0.010_perturbed.cif,-2760.9828758239746,-2756.038515882683,4.944359941291623,0.013160607234912492,0.020284234200562627,0.14103220994617738
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0077_strain+0.015_perturbed.cif,-2759.227191925049,-2754.3555743100005,4.871617615048308,0.01335663540198817,0.021176193971013554,0.165587978388419
