file,energy_chgnet_meV,energy_mace_meV,delta_E_meV,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0166_strain-0.015_perturbed.cif,-2767681.7893981934,-2762488.716490363,5193.0729078305885,13.165466413908822,20.473024454339026,150.37004634929679
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain+0.010_perturbed.cif,-2767039.3981933594,-2762013.6710407967,5025.7271525627,11.74058737846517,18.727655956023547,135.5516899520851
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain+0.015_perturbed.cif,-2764681.4918518066,-2759726.7195756137,4954.7722761929035,11.739224473122018,18.85929108692839,150.46647585333798
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain-0.010_perturbed.cif,-2769567.558288574,-2764391.717895953,5175.840392621234,12.097716729372051,18.653454781738482,148.26161617881462
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain-0.015_perturbed.cif,-2768419.0406799316,-2763222.9993056683,5196.041374263354,12.423523075989308,19.406551742365576,150.00089215634762
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain+0.010_perturbed.cif,-2766499.5918273926,-2761560.070447944,4939.521379448473,11.955519534276776,19.539449644836573,164.38946468097663
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain+0.015_perturbed.cif,-2764258.1748962402,-2759389.958356507,4868.216539733112,12.183591269351771,19.962011535768845,170.28662091720105
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain-0.010_perturbed.cif,-2768856.8801879883,-2763745.715607103,5111.164580885321,12.33618711626873,19.64038238373447,139.13713845163375
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain-0.015_perturbed.cif,-2767633.2778930664,-2762475.0165307196,5158.2613623468205,12.414931639647662,19.394731891251197,156.31756983642853
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain+0.010_perturbed.cif,-2766279.899597168,-2761390.274493315,4889.625103853177,12.242732791085855,20.00921976427556,205.83652480544617
