file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0145_strain-0.015_perturbed.cif,900,-3418.0757999420166,-3405.824046174045,12.251753767971422,22.675260062986954,32.666923321178395,258.7624944907195
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0154_strain-0.010_perturbed.cif,900,-3445.356845855713,-3434.6130991006307,10.743746755082157,21.766354938474667,31.91457251678701,316.9860664114524
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0154_strain-0.015_perturbed.cif,900,-3436.448097229004,-3425.446615409132,11.00148181987197,22.916005305174927,33.49097599042422,337.3712178178648
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0167_strain+0.010_perturbed.cif,900,-3477.3547649383545,-3467.4397963817723,9.914968556582153,20.296429173235314,30.885789690713416,208.4760907927844
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0167_strain+0.015_perturbed.cif,900,-3482.0220470428467,-3472.168658055663,9.853388987183735,19.88237206177353,30.89072408613199,197.3886422735036
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0167_strain-0.010_perturbed.cif,900,-3449.918031692505,-3439.6216810069423,10.29635068556263,22.261327149817348,33.80784238163907,299.6309217966311
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0167_strain-0.015_perturbed.cif,900,-3440.6089782714844,-3430.1914771051574,10.417501166326929,23.023933163777976,35.14643492973001,284.43282047994944
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0170_strain+0.010_perturbed.cif,900,-3476.372718811035,-3466.3588863375157,10.013832473519415,20.454231508207844,30.510858178452043,253.40354062301464
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0170_strain+0.015_perturbed.cif,900,-3481.1413288116455,-3471.1779615877704,9.963367223875139,20.1050156263062,30.15788553105642,241.15800614937746
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0170_strain-0.010_perturbed.cif,900,-3448.5344886779785,-3438.1109084655245,10.423580212453999,22.411738755703215,32.821562434623864,252.52952132507693
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0170_strain-0.015_perturbed.cif,900,-3439.1865730285645,-3428.6752190505895,10.511353977974977,23.516626766248695,34.93625151611784,301.2658957439967
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0173_strain+0.010_perturbed.cif,900,-3476.651430130005,-3466.527042457019,10.124387672985904,20.440181168137638,30.71394294617743,213.90815724521758
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0173_strain+0.015_perturbed.cif,900,-3481.5924167633057,-3471.5179645303742,10.074452232931435,20.307280790180048,30.595381259804622,187.7689402451176
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0173_strain-0.010_perturbed.cif,900,-3448.1072425842285,-3437.673854034187,10.4333885500414,23.191127274708272,35.2485998290367,247.73877834492714
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0173_strain-0.015_perturbed.cif,900,-3438.506603240967,-3428.01622904158,10.490374199386679,24.110873354989174,36.095872689795975,232.62503532529627
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0193_strain+0.010_perturbed.cif,900,-3465.2349948883057,-3455.4166756763716,9.818319211934067,21.78807026673942,34.216007536042206,314.0808932708196
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0193_strain+0.015_perturbed.cif,900,-3470.905542373657,-3461.2305087242407,9.675033649416491,21.533377299672654,33.72518636617081,304.21820804797267
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0193_strain-0.010_perturbed.cif,900,-3432.981491088867,-3422.690933874045,10.290557214822002,24.77377083772758,39.04187140666092,347.72207268437205
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0193_strain-0.015_perturbed.cif,900,-3422.26505279541,-3411.9467740473597,10.318278748050489,25.723307896042325,41.07284583292182,335.22830277275443
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0015_strain+0.010_perturbed.cif,900,-3136.732578277588,-3126.290123345033,10.442454932554938,43.50554839696851,61.91525012747807,370.90724532865624
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0015_strain+0.015_perturbed.cif,900,-3141.0229206085205,-3130.4982564072834,10.524664201237101,43.906072054766376,63.1246934687844,456.49371706524425
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0015_strain-0.010_perturbed.cif,900,-3106.3361167907715,-3096.71238871301,9.62372807776137,48.46187720606804,69.38879106306645,521.192096241009
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0015_strain-0.015_perturbed.cif,900,-3094.9223041534424,-3085.6243071225213,9.297997030921124,51.1767155123023,74.17379128224916,365.9028130939779
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0018_strain+0.010_perturbed.cif,900,-3149.1377353668213,-3137.7830842645362,11.354651102285061,44.116787477273405,62.7631025809552,335.8501245604067
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0018_strain+0.015_perturbed.cif,900,-3153.15580368042,-3141.6606838366715,11.495119843748398,44.27332492140846,63.93777999133503,393.38464938724997
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0018_strain-0.010_perturbed.cif,900,-3119.2445755004883,-3108.8585060372134,10.386069463274907,49.4551801719541,72.0923823144131,513.3928852002865
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0018_strain-0.015_perturbed.cif,900,-3107.856512069702,-3097.855348023521,10.001164046181202,52.00528486241938,75.89958338756439,676.2572478720463
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0032_strain+0.010_perturbed.cif,900,-3178.323745727539,-3165.1840710212127,13.139674706326332,41.785548662003954,62.39288656212532,594.472509820589
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0032_strain+0.015_perturbed.cif,900,-3182.3229789733887,-3169.2027117497246,13.120267223664086,41.14914650072741,62.40311629510776,599.7615027443526
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0032_strain-0.010_perturbed.cif,900,-3148.400068283081,-3135.8314810758907,12.568587207190376,46.2036151474167,68.15273529055717,587.6307398979638
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0032_strain-0.015_perturbed.cif,900,-3136.733055114746,-3124.4370448151476,12.296010299598493,49.33489310098678,72.91539659164819,551.4324776090621
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0036_strain+0.010_perturbed.cif,900,-3186.2847805023193,-3173.1896262068444,13.095154295474913,38.3102044605145,55.19321950231162,371.75214471995105
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0036_strain+0.015_perturbed.cif,900,-3190.585136413574,-3177.4315779110316,13.153558502542637,37.843697382130564,55.237614530426576,312.08276195546955
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0036_strain-0.010_perturbed.cif,900,-3155.182361602783,-3142.865877751966,12.316483850817349,43.984175738950924,62.28027687205763,333.1335359404154
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0036_strain-0.015_perturbed.cif,900,-3143.6004638671875,-3131.554070225555,12.046393641632676,46.39659092101467,65.81145270108337,388.8340644467153
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0057_strain+0.010_perturbed.cif,900,-3227.9415130615234,-3214.8561511051957,13.085361956327688,35.752884540586614,52.29393894206013,316.3879628002767
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0057_strain+0.015_perturbed.cif,900,-3232.579231262207,-3219.5566026994493,13.022628562757745,35.50882751450402,52.311099396472194,331.8936557060863
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0057_strain-0.010_perturbed.cif,900,-3196.425676345825,-3183.5271824484357,12.898493897389471,40.55657063982509,58.74556034583611,329.7630260307707
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0057_strain-0.015_perturbed.cif,900,-3184.828042984009,-3172.103780116013,12.724262867996003,43.38818917723327,64.19955267886873,460.71474277390735
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0062_strain+0.010_perturbed.cif,900,-3239.293098449707,-3225.8837950209595,13.409303428747535,34.3002099331885,51.27058143677624,404.99294910063605
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0062_strain+0.015_perturbed.cif,900,-3244.004487991333,-3230.7371110537338,13.267376937599238,33.99790126660897,50.522455614526976,382.04341797134043
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0062_strain-0.010_perturbed.cif,900,-3207.247018814087,-3194.0449158819843,13.202102932102662,38.5196969585692,55.72759935905009,342.774436687258
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0062_strain-0.015_perturbed.cif,900,-3195.5626010894775,-3182.604528369783,12.958072719694428,42.79943964722562,61.999021527602295,364.55965322484536
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0065_strain+0.010_perturbed.cif,900,-3244.1999912261963,-3231.0864656051854,13.113525621010922,33.505057560227456,48.73917479922506,274.30677033547465
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0065_strain+0.015_perturbed.cif,900,-3248.849630355835,-3235.904565447482,12.945064908352833,32.9394322066457,48.08540279269095,281.93278725916934
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0065_strain-0.010_perturbed.cif,900,-3212.953567504883,-3199.776201957688,13.177365547194768,40.64645948303672,59.211040835185074,422.9365258424018
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0065_strain-0.015_perturbed.cif,900,-3201.4553546905518,-3188.4530558056817,13.002298884870015,42.93602032824096,63.303181416339086,420.95638705852434
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0078_strain+0.010_perturbed.cif,900,-3271.9011306762695,-3258.368479328023,13.532651348246418,34.582104066985615,53.04537497411294,360.29741456215925
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0078_strain+0.015_perturbed.cif,900,-3276.8478393554688,-3263.5273148730307,13.320524482438032,33.767446114637785,52.27458270233889,304.86085131316986
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0078_strain-0.010_perturbed.cif,900,-3240.561008453369,-3226.648674779216,13.91233367415316,38.191991640564495,57.36309605019519,355.1781114724017
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0078_strain-0.015_perturbed.cif,900,-3229.358911514282,-3215.5019625834475,13.856948930834733,39.544579355588134,58.43276725435263,378.19088723100003
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0094_strain+0.010_perturbed.cif,900,-3310.2188110351562,-3297.7624659311386,12.4563451040176,29.091247929696507,45.35482519052488,361.38932680657217
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0094_strain+0.015_perturbed.cif,900,-3315.256118774414,-3303.11181537752,12.144303396893974,28.725346541267687,44.50606948214908,359.2765694117945
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0094_strain-0.010_perturbed.cif,900,-3279.353141784668,-3265.7700859519214,13.583055832746595,34.02179739494729,53.32883761094015,484.19443475132607
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0094_strain-0.015_perturbed.cif,900,-3268.4972286224365,-3254.711317587385,13.785911035051413,36.714368519820304,57.53137185732491,453.4691057778591
