file,num_atoms,energy_chgnet_meV_per_atom,energy_mace_meV_per_atom,delta_E_meV_per_atom,force_mae_meV_per_A,force_rmse_meV_per_A,force_max_abs_meV_per_A
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain+0.015_perturbed.cif,648,-4266.483783721924,-4258.837530209281,7.646253512642943,11.739224473122018,18.85929108692839,150.46647585333798
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain-0.010_perturbed.cif,648,-4274.02400970459,-4266.036601691285,7.987408013304957,12.097716729372051,18.653454781738482,148.26161617881462
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0175_strain-0.015_perturbed.cif,648,-4272.251605987549,-4264.233023619858,8.018582367691124,12.423523075989308,19.406551742365576,150.00089215634762
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain+0.010_perturbed.cif,648,-4269.289493560791,-4261.66677538263,7.622718178161449,11.955519534276776,19.539449644836573,164.38946468097663
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain+0.015_perturbed.cif,648,-4265.830516815186,-4258.317836969918,7.512679845267485,12.183591269351771,19.962011535768845,170.28662091720105
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain-0.010_perturbed.cif,648,-4272.927284240723,-4265.039684578863,7.887599661859895,12.33618711626873,19.64038238373447,139.13713845163375
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0179_strain-0.015_perturbed.cif,648,-4271.039009094238,-4263.078729214073,7.960279880165217,12.414931639647662,19.394731891251197,156.31756983642853
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain+0.010_perturbed.cif,648,-4268.950462341309,-4261.404744588448,7.5457177528605826,12.242732791085855,20.00921976427556,205.83652480544617
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain+0.015_perturbed.cif,648,-4265.561580657959,-4258.151783356655,7.409797301304025,12.324186249807237,20.27090214692882,188.0823848362421
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain-0.010_perturbed.cif,648,-4272.181987762451,-4264.313324713402,7.868663049049246,12.467076359891914,19.610012728674906,137.13424440332855
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0186_strain-0.015_perturbed.cif,648,-4270.153522491455,-4262.223366492604,7.930155998850751,13.178461459052368,20.539362324049264,144.61007250741875
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain+0.010_perturbed.cif,648,-4268.718719482422,-4261.196391958632,7.5223275237894995,11.956566427564178,18.984680301467574,162.53639106508035
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain+0.015_perturbed.cif,648,-4265.054702758789,-4257.662870304265,7.391832454523865,12.392969959119483,19.753769850971498,155.518612574524
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain-0.010_perturbed.cif,648,-4272.852897644043,-4265.0218196631395,7.831077980903501,12.510788734470262,19.456220464527135,130.65935472996875
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0194_strain-0.015_perturbed.cif,648,-4271.075248718262,-4263.166345817247,7.908902901014699,12.901454521119486,20.415961848425802,158.2915131719942
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain+0.010_perturbed.cif,648,-4268.253326416016,-4260.7611997785025,7.492126637513138,12.015155268998498,19.35556704689176,157.27221596272693
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain+0.015_perturbed.cif,648,-4264.584541320801,-4257.2206323902155,7.363908930585239,12.458758127255898,20.18533033158475,171.73459741102738
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain-0.010_perturbed.cif,648,-4272.344589233398,-4264.529088883541,7.815500349857757,12.865958000014725,20.526414992461042,185.71475978026342
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0195_strain-0.015_perturbed.cif,648,-4270.732402801514,-4262.832888808734,7.899513992779248,13.147984864941114,21.20491383887443,210.2340928316819
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0198_strain+0.010_perturbed.cif,648,-4268.561363220215,-4261.046370541105,7.514992679110037,11.914946278537908,18.984914644662496,143.64458035939754
