filename,dataset,u_E_A,d_latent_A,strain,temp,termination,facet,u_E_B,d_latent_B
cellrelaxed_LLZO_001_Zr_code93_sto__Li_111_slab_heavy_T450_0148.cif,T1,0.016276603613926275,0.7657282674446527,0.0,450,Zr,111,0.007930551067599764,0.7141894894818022
cellrelaxed_LLZO_010_La_order0_off__Li_111_slab_heavy_T300_0128.cif,T1,0.01866209111784846,0.9911032956563711,0.0,300,La,111,0.009094830797980319,0.886052921020557
cellrelaxed_LLZO_010_Li_order0_off__Li_110_slab_heavy_T300_0073.cif,T1,0.003949422182165326,0.39927117269278883,0.0,300,Li,110,0.001710983789206573,0.2806130233289891
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0085.cif,T1,0.0030954240310416175,0.5946701257526967,0.0,450,Zr,100,0.0013484917064878685,0.47175189062885686
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T300_0148.cif,T1,0.007706000110130987,0.2186139950485208,0.0,300,Zr,110,0.002120221987385849,0.17486077580958398
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0022_strain-3_perturbed.cif,T1,0.00507495830080222,0.5395905344923403,-3.0,300,Zr,100,0.0013398267052949484,0.4302424944868467
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T450_0137.cif,T1,0.0028811110485474933,0.6292363917279699,0.0,450,La,100,0.0012397027740114273,0.5039156946422476
cellrelaxed_LLZO_010_Li_order0_off__Li_110_slab_heavy_T300_0107.cif,T1,0.0034380752618446936,0.43703147498961603,0.0,300,Li,110,0.0014920400072166308,0.31386796379218757
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T300_0131_strain-2_perturbed.cif,T1,0.013003109080797664,0.601762687669001,-2.0,300,Li,111,0.004894197134975052,0.5842507817152682
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T300_0010.cif,T1,0.0033366533036902754,0.5572142022885885,0.0,300,O,100,0.0014402670327272056,0.43975683580262875
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T450_0017.cif,T1,0.02661970452838249,1.6228374300000066,0.0,450,Li,111,0.012706317758994423,1.3866584405936635
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T300_0174.cif,T1,0.002643537844478873,0.6270447056447174,0.0,300,O,100,0.0010118166563503367,0.4992952569484074
cellrelaxed_LLZO_010_Li_order0_off__Li_110_slab_heavy_T300_0135.cif,T1,0.0031997786563144437,0.4657925846972506,0.0,300,Li,110,0.0013221874148229991,0.33907268615446584
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T300_0141.cif,T1,0.007931319908379543,0.2999402475207077,0.0,300,Li,111,0.0029220280267984967,0.31101073777296256
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T450_0200.cif,T1,0.0025942529781483687,0.6252407257127394,0.0,450,Zr,100,0.0010889008796414756,0.4972788260574669
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T300_0075.cif,T1,0.0036080773698176304,0.5916858358023983,0.0,300,La,100,0.00145720657352263,0.4747951859860711
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0144.cif,T1,0.007879029828753884,0.21969497370593294,0.0,450,Zr,110,0.002153671437119276,0.18071946951155934
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T450_0141.cif,T1,0.0028325905923835006,0.49076640692141543,0.0,450,Li,110,0.001529420275909093,0.36785240800776015
cellrelaxed_LLZO_001_Zr_code93_sto__Li_100_slab_heavy_T300_0041.cif,T1,0.0030405712541104035,0.5986219447155753,0.0,300,Zr,100,0.0014112298222588235,0.47723145679221035
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T450_0127.cif,T1,0.004610933758231013,0.38984379642039424,0.0,450,La,100,0.0017213774609561557,0.2688218701585473
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T450_0039.cif,T1,0.003216174124381797,0.5642342944764748,0.0,450,O,100,0.0013506702690373755,0.44385694318242797
cellrelaxed_LLZO_010_La_order0_off__Li_110_slab_heavy_T300_0186_strain-2_perturbed.cif,T1,0.00362378555693907,0.44354806028751753,-2.0,300,La,110,0.0010815768074297954,0.3158545468773426
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T450_0144.cif,T1,0.0027223516767912632,0.6149920075389524,0.0,450,O,100,0.0010153791776759133,0.48630756768526745
cellrelaxed_LLZO_010_La_order0_off__Li_110_slab_heavy_T300_0044.cif,T1,0.004158140580514403,0.36247402573416365,0.0,300,La,110,0.002074201480180343,0.252659868141367
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T300_0082.cif,T1,0.005169693383714643,0.33368610713559005,0.0,300,La,100,0.0020548191210744103,0.2206629530409964
cellrelaxed_LLZO_010_Li_order0_off__Li_111_slab_heavy_T300_0002.cif,T1,0.027359069008882412,1.6483438550947667,0.0,300,Li,111,0.013134310221934535,1.4112134227210216
cellrelaxed_LLZO_001_Zr_code93_sto__Li_110_slab_heavy_T450_0134.cif,T1,0.007954443457145384,0.2066593333170959,0.0,450,Zr,110,0.002347162321666749,0.20163359335280534
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T450_0165.cif,T1,0.0026120064879094017,0.5042708460652255,0.0,450,Li,110,0.001265992544734327,0.379277741384546
cellrelaxed_LLZO_010_Li_order4_off__Li_100_slab_heavy_T450_0178.cif,T1,0.002665161347894742,0.662577642530581,0.0,450,Li,100,0.001212151855494203,0.5374738483512035
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T300_0115.cif,T1,0.0029577234990372622,0.6019458424475431,0.0,300,O,100,0.0010105820346959845,0.4771824519428355
cellrelaxed_LLZO_010_La_order0_off__Li_110_slab_heavy_T450_0136.cif,T1,0.0032014305787032215,0.4590845955657789,0.0,450,La,110,0.0013328376137524143,0.3357651316809068
cellrelaxed_LLZO_010_Li_order0_off__Li_110_slab_heavy_T450_0074.cif,T1,0.004132647216551614,0.3914335897611404,0.0,450,Li,110,0.001664899856843287,0.2756175791749138
cellrelaxed_LLZO_010_La_order0_off__Li_111_slab_heavy_T450_0052.cif,T1,0.02861487891890215,1.8152848811511761,0.0,450,La,111,0.013703501519105482,1.5539330141311154
cellrelaxed_LLZO_010_Li_order4_off__Li_111_slab_heavy_T450_0104.cif,T1,0.014143134931249374,0.5785181823572312,0.0,450,Li,111,0.006594647142123493,0.5717061913444895
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T450_0112.cif,T1,0.0029074555556835493,0.4725870426334731,0.0,450,Li,110,0.0014568931424825313,0.35172912885081475
cellrelaxed_LLZO_010_Li_order4_off__Li_110_slab_heavy_T300_0071.cif,T1,0.0031652551137647963,0.4403099579044859,0.0,300,Li,110,0.0017503213405284579,0.32207300458163374
cellrelaxed_LLZO_010_La_order0_off__Li_100_slab_heavy_T450_0036_strain+2_perturbed.cif,T1,0.0027212694960148153,0.5881740102256109,2.0,450,La,100,0.0019313023374888676,0.46739695090515215
cellrelaxed_LLZO_011_La_code71_sto__Li_100_slab_heavy_T300_0119_strain-3_perturbed.cif,T1,0.006550357765984263,0.28875685000120555,-3.0,300,La,100,0.001291200329225496,0.17936301055167447
cellrelaxed_LLZO_010_O_order5_off__Li_100_slab_heavy_T450_0095.cif,T1,0.002940575427470072,0.5948229622779778,0.0,450,O,100,0.0011514788520595937,0.46985832693203994
